This greeting was eventually shortened to ciào, lost all its servile connotations and came to be used as an informal salutation by speakers of all classes.	Aquesta salutació finalment es va escurçar a ciào, va perdre totes les seves connotacions servils i va passar a ser utilitzada com a salutació informal per part de parlants de totes les classes.	1	gpl-3	wikimedia
In modern Italian language, the word is used (in addition to the meaning of salutation) as an exclamation of resignation (also in a positive sense), as in Oh, va be', ciao!	En la llengua italiana moderna, la paraula s'utilitza (a més del significat de salutació) com a exclamació de resignació (també en sentit positiu), com a Oh, va be ', ciao!	1	gpl-3	wikimedia
A Milanese tongue-twister says Se gh'hinn gh'hinn; se gh'hinn nò, s'ciào ("If there is [money], there is; if there isn't, farewell! [there's nothing we can do]").	En milanès diu Se gh'hinn gh'hinn; se gh'hinn nò, s'ciào ("Si hi ha [diners], n'hi ha; si no n'hi ha, adéu! [no podem fer res] ").[1]	1	gpl-3	wikimedia
The Venetian ciào was adopted by Northern Italian people during the late 19th and early 20th century.	El ciào milanès va ser adoptat pels nord-italians a finals del segle XIX i principis del XX.	1	gpl-3	wikimedia
Later it became common elsewhere in Italy with the spelling ciao.	Més tard es va fer habitual en altres llocs d'Itàlia amb l'ortografia ciao .	1	gpl-3	wikimedia
It has since spread to many countries in Europe, along with other items of the Italian culture.	Des d'aleshores s'ha estès a molts països d'Europa, juntament amb altres elements de la cultura italiana .	1	gpl-3	wikimedia
In the late 19th and early 20th centuries, the greeting (spelled 'chau' and only meaning 'bye') spread to the Americas—especially Colombia, Costa Rica, Uruguay, Paraguay, Bolivia, Peru, Ecuador, Chile, Brazil (as 'tchau'), Venezuela, Panama and Argentina—largely by way of Italian immigrants.	A finals del segle XIX i principis del XX, la salutació (que s'escriu "chau" i només significa "adéu") es va estendre a les Amèriques — especialment a Colòmbia, Costa Rica, Uruguai, Paraguai, Bolívia, Perú, Equador, Xile, Brasil (com " tchau '), Veneçuela, Panamà i Argentina — principalment a través d' immigrants italians.	1	gpl-3	wikimedia
In today's Cuba, "ciao" as a closing in letters has largely replaced the more traditional "adiós," with its religious implications, for many young people.[citation needed] 'Ciao' has also permeated Australian culture, becoming a popular greeting among descendants of Italian immigrants.	A la Cuba actual, el "ciao" com a tancament de cartes ha substituït en gran mesura el més tradicional " adiós ", amb les seves implicacions religioses, per a molts joves. "Ciao" també ha impregnat la cultura australiana, convertint-se en una salutació popular entre els descendents d'immigrants italians .	1	gpl-3	wikimedia
It is also common in some varieties of South African English.	També és freqüent en algunes varietats d'anglès sud-africà .	1	gpl-3	wikimedia
Ciao has also been used in some parts of Romania as a way to say “goodbye”.	El Ciao també s'ha utilitzat en algunes parts de Romania com a forma de dir "adéu".	1	gpl-3	wikimedia
Ernest Hemingway's novel A Farewell to Arms (1929), which is set in northeast Italy during World War I, is credited with bringing the word into the English language.[3][failed verification]	La novel·la d ' Ernest Hemingway A Farewell to Arms (1929), que es troba al nord-est d'Itàlia durant la Primera Guerra Mundial, s'atribueix per haver portat la paraula a la llengua anglesa . [1]	1	gpl-3	wikimedia
In contemporary Italian usage, ciao is interchangeable for both an informal hello and goodbye, much like aloha in Hawaiian, salām in Arabic, shalom in Hebrew and annyeong in Korean.	En l'ús italià contemporani, ciao és intercanviable tant per un hola informal com per un comiat, molt semblant a aloha en hawaià, salām en àrab , shalom en hebreu i annyeong en coreà.	1	gpl-3	wikimedia
